date,year,month,hour,season,weekday,is_holiday,working_day,weather_sit,is_covid,temp,wind,humidity,total_count
2018-01-06,2018,1,21,1,5,0,0,1.0,0,-2.5600188034042786,0.40574520087104915,-1.071817918796501,37.0
2018-01-06,2018,1,22,1,5,0,0,1.0,0,-2.5600188034042786,1.2715048043408355,-1.071817918796501,36.0
2018-01-06,2018,1,23,1,5,0,0,1.0,0,-2.663584959913345,0.776785030929529,-1.071817918796501,19.0
2018-01-07,2018,1,0,1,6,0,0,1.0,0,-2.663584959913345,0.15838531416539592,-1.071817918796501,24.0
2018-01-07,2018,1,1,1,6,0,0,1.0,0,-2.767151116422411,0.776785030929529,-0.9125241004237338,12.0
2018-01-07,2018,1,2,1,6,0,0,1.0,0,-2.767151116422411,0.40574520087104915,-0.9125241004237338,13.0
2018-01-07,2018,1,3,1,6,0,0,1.0,0,-2.767151116422411,-0.5836943459515638,-0.9125241004237338,8.0
2018-01-07,2018,1,4,1,6,0,0,1.0,0,-2.767151116422411,0.15838531416539592,-0.6470344031357885,6.0
2018-01-07,2018,1,5,1,6,0,0,1.0,0,-2.8707172729314774,-0.08897457254025733,-0.4346426453054323,6.0
2018-01-07,2018,1,6,1,6,0,0,1.0,0,-2.767151116422411,0.15838531416539592,-0.6470344031357885,5.0
2018-01-07,2018,1,7,1,6,0,0,1.0,0,-2.767151116422411,-0.08897457254025733,-0.6470344031357885,27.0
2018-01-07,2018,1,8,1,6,0,0,1.0,0,-2.663584959913345,-0.5836943459515638,-0.6470344031357885,50.0
2018-01-07,2018,1,9,1,6,0,0,1.0,0,-2.456452646895212,-0.3363344592459106,-1.018719979338912,77.0
2018-01-07,2018,1,10,1,6,0,0,1.0,0,-2.352886490386146,-0.5836943459515638,-1.3904055555420354,125.0
2018-01-07,2018,1,11,1,6,0,0,1.0,0,-2.2493203338770797,-1.6968138361270033,-1.5496993739148024,120.0
2018-01-07,2018,1,12,1,6,0,0,3.0,0,-2.1457541773680133,-0.5836943459515638,-1.5496993739148024,175.0
2018-01-07,2018,1,13,1,6,0,0,2.0,0,-2.1457541773680133,0.40574520087104915,-1.3904055555420354,169.0
2018-01-07,2018,1,14,1,6,0,0,2.0,0,-2.0421880208589474,0.15838531416539592,-1.9213849501179259,161.0
2018-01-07,2018,1,15,1,6,0,0,2.0,0,-2.0421880208589474,0.6531050875767024,-1.6558952528299806,167.0
2018-01-07,2018,1,16,1,6,0,0,2.0,0,-2.1457541773680133,0.6531050875767024,-1.5496993739148024,154.0
2018-01-07,2018,1,17,1,6,0,0,2.0,0,-2.1457541773680133,0.6531050875767024,-1.1780137977116791,140.0
2018-01-07,2018,1,18,1,6,0,0,2.0,0,-2.2493203338770797,0.15838531416539592,-1.018719979338912,98.0
2018-01-07,2018,1,19,1,6,0,0,2.0,0,-2.2493203338770797,0.40574520087104915,-0.8063282215085557,71.0
2018-01-07,2018,1,20,1,6,0,0,2.0,0,-2.2493203338770797,1.0241449176351822,-0.8063282215085557,62.0
2018-01-07,2018,1,21,1,6,0,0,2.0,0,-2.2493203338770797,-0.08897457254025733,-1.018719979338912,37.0
2018-01-07,2018,1,22,1,6,0,0,1.0,0,-2.2493203338770797,0.6531050875767024,-1.018719979338912,29.0
2018-01-07,2018,1,23,1,6,0,0,1.0,0,-2.2493203338770797,0.15838531416539592,-1.018719979338912,17.0
2018-01-08,2018,1,0,1,0,0,1,2.0,0,-2.2493203338770797,0.40574520087104915,-1.018719979338912,7.0
2018-01-08,2018,1,1,1,0,0,1,2.0,0,-2.2493203338770797,0.15838531416539592,-1.018719979338912,3.0
2018-01-08,2018,1,2,1,0,0,1,2.0,0,-2.2493203338770797,-0.08897457254025733,-1.018719979338912,5.0
2018-01-08,2018,1,3,1,0,0,1,2.0,0,-2.2493203338770797,0.15838531416539592,-0.8063282215085557,5.0
2018-01-08,2018,1,4,1,0,0,1,2.0,0,-2.2493203338770797,-0.08897457254025733,-0.8063282215085557,9.0
2018-01-08,2018,1,5,1,0,0,1,2.0,0,-2.1457541773680133,0.40574520087104915,-1.018719979338912,54.0
2018-01-08,2018,1,6,1,0,0,1,1.0,0,-2.1457541773680133,0.15838531416539592,-1.018719979338912,169.0
2018-01-08,2018,1,7,1,0,0,1,1.0,0,-2.1457541773680133,0.40574520087104915,-1.018719979338912,413.0
